id,full_name,position
426,Josh Bowler,MID
427,Carlos Miguel dos Santos Pereira,GK
428,Eric da Silva Moreira,MID
429,Danilo dos Santos de Oliveira,MID
430,Emmanuel Dennis,FWD
431,Nicolás Domínguez,MID
432,Anthony Elanga,MID
433,Morgan Gibbs-White,MID
434,Callum Hudson-Odoi,MID
435,Alex Mighten,MID
436,Murillo Santiago Costa dos Santos,DEF
437,Neco Williams,DEF
438,Omar Richards,DEF
439,Lewis O'Brien,MID
440,Andrew Omobamidele,DEF
441,Jonathan Panzo,DEF
442,Ibrahim Sangaré,MID
443,Matz Sels,GK
444,Harry Toffolo,DEF
446,Hwang Ui-jo,FWD
447,Chris Wood,FWD
448,Joe Worrall,DEF
449,Ryan Yates,MID
531,James Ward-Prowse,MID
573,Nikola Milenković,DEF
596,João Pedro Ferreira Silva,MID
620,Ramón Sosa,MID
653,Felipe Rodrigues da Silva,DEF
14,Aaron Ramsdale,GK
27,Cameron Archer,FWD
188,Lesley Ugochukwu,MID
397,Ryan Fraser,MID
450,Carlos Alcaraz Durán,MID
451,Samuel Amo-Ameyaw,MID
452,Joe Aribo,MID
453,Adam Armstrong,FWD
454,Gavin Bazunu,GK
455,Jan Bednarek,DEF
456,Armel Bella-Kotchap,DEF
457,James Bree,DEF
458,Shea Charles,MID
459,Samuel Edozie,MID
460,Ronnie Edwards,DEF
461,Taylor Harwood-Bellis,DEF
462,Kamaldeen Sulemana,MID
463,Adam Lallana,MID
464,Juan Larios López,DEF
465,Mateusz Lis,GK
466,Joe Lumley,GK
467,Ryan Manning,DEF
468,Sékou Mara,FWD
469,Alex McCarthy,GK
470,Paul Onuachu,FWD
471,Will Smallbone,MID
472,Jack Stephens,DEF
473,Ross Stewart,FWD
474,Sugawara Yukinari,DEF
475,Charlie Taylor,DEF
476,Kyle Walker-Peters,DEF
477,Nathan Wood-Gordon,DEF
515,Maxwel Cornet,MID
518,Flynn Downes,MID
584,Ben Brereton Díaz,MID
608,Tyler Dibling,MID
623,Mateus Gonçalo Espanha Fernandes,MID
82,Dominic Solanke-Mitchell,FWD
478,Ashley Phillips,DEF
479,Brandon Austin,GK
480,Rodrigo Bentancur,MID
481,Lucas Bergvall,MID
482,Yves Bissouma,MID
483,Bryan Gil Salvatierra,MID
484,Ben Davies,DEF
485,Alfie Devine,MID
486,Radu Drăgușin,DEF
487,Emerson Leite de Souza Junior,DEF
488,Fraser Forster,GK
489,Archie Gray,MID
490,Pierre-Emile Højbjerg,MID
491,Brennan Johnson,MID
492,Dejan Kulusevski,MID
493,Giovani Lo Celso,MID
494,James Maddison,MID
495,Pedro Porro,DEF
496,Sergio Reguilón,DEF
497,Richarlison de Andrade,FWD
498,Cristian Romero,DEF
499,Pape Matar Sarr,MID
500,Dane Scarlett,FWD
502,Manor Solomon,MID
503,Son Heung-min,MID
504,Djed Spence,DEF
505,Destiny Udogie,DEF
506,Micky van de Ven,DEF
507,Alejo Véliz,FWD
508,Guglielmo Vicario,GK
509,Timo Werner,MID
510,Alfie Whiteman,GK
609,Will Lankshear,FWD
610,Mikey Moore,MID
612,Wilson Odobert,MID
388,Aaron Wan-Bissaka,DEF
511,Edson Álvarez Velázquez,MID
512,Michail Antonio,FWD
513,Alphonse Areola,GK
514,Jarrod Bowen,MID
516,Vladimír Coufal,DEF
517,Aaron Cresswell,DEF
519,George Earthy,MID
520,Emerson Palmieri dos Santos,DEF
521,Łukasz Fabiański,GK
522,Wes Foderingham,GK
523,Danny Ings,FWD
524,Max Kilman,DEF
525,Mohammed Kudus,MID
526,Luis Guilherme Lira dos Santos,MID
527,Lucas Tolentino Coelho de Lima,MID
528,Konstantinos Mavropanos,DEF
529,Nayef Aguerd,DEF
530,Tomáš Souček,MID
532,Kurt Zouma,DEF
576,Andy Irving,MID
587,Crysencio Summerville,MID
588,Guido Rodríguez,MID
589,Niclas Füllkrug,FWD
591,Jean-Clair Todibo,DEF
643,Kaelan Casey,DEF
654,Carlos Soler,MID
677,Ollie Scarles,DEF
204,Sam Johnstone,GK
533,Rayan Aït-Nouri,DEF
534,Boubacar Traoré,MID
535,Jean-Ricner Bellegarde,MID
536,Daniel Bentley,GK
537,Francisco Jorge Tomás Oliveira,MID
538,Tawanda Chirewa,MID
539,Leon Chiwome,FWD
540,Luke Cundle,MID
541,Matheus Santos Carneiro Da Cunha,FWD
542,Craig Dawson,DEF
543,Matt Doherty,DEF
544,Tommy Doyle,MID
545,Fábio Silva,FWD
546,Nathan Fraser,FWD
547,Enso González,MID
548,Gonçalo Manuel Ganchinho Guedes,MID
549,Hugo Bueno López,DEF
550,Hwang Hee-chan,MID
551,Joe Hodge,MID
552,Ki-Jana Hoever,DEF
553,João Victor Gomes da Silva,MID
554,José Malheiro de Sá,GK
555,Saša Kalajdžić,FWD
556,Tom King,GK
557,Mario Lemina,MID
558,Yerson Mosquera,DEF
559,Nélson Cabral Semedo,DEF
561,Pedro Cardoso de Lima,DEF
562,Daniel Castelo Podence,MID
563,Rodrigo Martins Gomes,MID
564,Santiago Bueno,DEF
565,Pablo Sarabia,MID
566,Jørgen Strand Larsen,FWD
567,Toti António Gomes,DEF
637,Bastien Meupiyou,DEF
642,André Trindade da Costa Neto,MID
655,Carlos Roberto Forbs Borges,MID
664,Alfie Pond,DEF
