id,full_name,position,team_element
358,Stefan Ortega Moreno,GK,13
360,Rodrigo 'Rodri' Hernandez,MID,13
361,Rúben Gato Alves Dias,DEF,13
362,John Stones,DEF,13
363,Kyle Walker,DEF,13
571,Sávio 'Savinho' Moreira de Oliveira,MID,13
607,Nico O'Reilly,MID,13
625,Ilkay Gündogan,MID,13
626,Issa Kaboré,DEF,13
671,Jacob Wright,MID,13
672,Jahmai Simpson-Pusey,DEF,13
675,Josh Wilson-Esbrand,DEF,13
364,Amad Diallo,MID,14
365,Antony Matheus dos Santos,MID,14
366,Bruno Borges Fernandes,MID,14
367,Altay Bayindir,GK,14
368,Carlos Henrique Casimiro,MID,14
369,Diogo Dalot Teixeira,DEF,14
370,Christian Eriksen,MID,14
371,Jonny Evans,DEF,14
372,Alejandro Garnacho,MID,14
373,Hannibal Mejbri,MID,14
374,Tom Heaton,GK,14
375,Rasmus Højlund,FWD,14
376,Victor Lindelöf,DEF,14
377,Harry Maguire,DEF,14
378,Kobbie Mainoo,MID,14
379,Tyrell Malacia,DEF,14
380,Lisandro Martínez,DEF,14
381,Scott McTominay,MID,14
382,Mason Mount,MID,14
383,André Onana,GK,14
384,Facundo Pellistri Rebollo,MID,14
385,Marcus Rashford,MID,14
387,Luke Shaw,DEF,14
389,Joshua Zirkzee,FWD,14
572,Leny Yoro,DEF,14
593,Matthijs de Ligt,DEF,14
594,Noussair Mazraoui,DEF,14
613,Toby Collyer,MID,14
648,Ethan Wheatley,FWD,14
652,Manuel Ugarte,MID,14
667,Jack Fletcher,MID,14
670,Harry Amass,DEF,14
673,Jayce Fitzgerald,MID,14
390,Alex Murphy,DEF,15
391,Miguel Almirón Rejala,MID,15
392,Harvey Barnes,MID,15
393,Sven Botman,DEF,15
394,Bruno Guimarães Rodriguez Moura,MID,15
395,Dan Burn,DEF,15
396,Martin Dúbravka,GK,15
398,Anthony Gordon,MID,15
399,Lewis Hall,DEF,15
400,Isaac Hayden,MID,15
401,Alexander Isak,FWD,15
402,Jacob Murphy,MID,15
403,Joelinton Cássio Apolinário de Lira,MID,15
404,Lloyd Kelly,DEF,15
405,Emil Krafth,DEF,15
406,Garang Kuol,MID,15
407,Jamaal Lascelles,DEF,15
408,Jamal Lewis,DEF,15
